source_taxon_external_id,source_taxon_name,source_taxon_path,source_specimen_life_stage,interaction_type,target_taxon_external_id,target_taxon_name,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:5391958,Bidens nudata,Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens nudata,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:2925485,Verbena macdougalii,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Verbenaceae | Verbena | Verbena macdougalii,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:5360973,Oxytropis lambertii bigelovii,Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Oxytropis | Oxytropis lambertii | Oxytropis lambertii bigelovii,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:3132142,Perymenium,Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Perymenium,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:3125749,Stevia serrata,Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Stevia | Stevia serrata,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:3935653,Fuertesimalva limensis,Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | Fuertesimalva | Fuertesimalva limensis,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:5378274,Bernardia incana,Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | Bernardia | Bernardia incana,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:7308690,Salvia lavanduloides,Plantae | Tracheophyta | Magnoliopsida | Lamiales | Lamiaceae | Salvia | Salvia lavanduloides,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:3107784,Senecio mairetianus,Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Senecio | Senecio mairetianus,NA,NA,NA,NA,NA
GBIF:5714369,Vanessa annabella,Animalia | Arthropoda | Insecta | Lepidoptera | Nymphalidae | Vanessa | Vanessa annabella,NA,visitsFlowersOf,GBIF:5362012,Sedum praealtum,Plantae | Tracheophyta | Magnoliopsida | Saxifragales | Crassulaceae | Sedum | Sedum praealtum,NA,NA,NA,NA,NA
