id,species2,species2_corrected,interaction
4416956359,Achillea millefolium,Achillea millefolium,Co-occur
2012960291,African daisy,Osteospermum sp.,Co-occur
4153983727,alfalfa,Medicago sativa,Co-occur
3008404418,alfalfa,Medicago sativa,Pollination
2466495816,alfalfa,Medicago sativa,Pollination
3384314218,Alkali Heliotrope,Heliotropium curassavicum,Co-occur
2901696625,Alkali Heliotrope,Heliotropium curassavicum,Co-occur
2294667940,Alkali Heliotrope,Heliotropium curassavicum,Pollination
4982345464,annuals,annual plant sp.,Pollination
2802927436,apricot mallow,Sphaeralcea ambigua,Herbivory
3456546867,Arctostaphylos,Arctostaphylos sp.,Co-occur
4901815742,Armenian blackberry,Rubus armeniacus,Pollination
4901335214,Armenian blackberry,Rubus armeniacus,Pollination
3333384613,asterácea blanca,Asteracea sp.,Pollination
4165473235,"Asteraceae, Eriophyllum lanatum",Eriophyllum lanatum,Co-occur
4936378555,Baccharis,Baccharis sp.,Co-occur
4936237929,Baccharis,Baccharis sp.,Co-occur
4936017422,Baccharis,Baccharis sp.,Co-occur
3466140871,Baccharis salicifolia,Baccharis salicifolia,Pollination
1839259270,bachelor button,Centaurea cyanus,Co-occur
4936764359,Bahiopsis laciniata,Bahiopsis laciniata,Co-occur
3456638585,Baja Desert-Thorn,Lycium brevipes,Pollination
3455462189,Baja Desert-Thorn,Lycium brevipes,Pollination
3407904262,Bidens aurea,Bidens aurea,Pollination
2242965426,Bidens nudata,Bidens nudata,Co-occur
2331915118,"Black Nightshade, Milk Thistle","Solanum nigrum, Silybum marianum",Co-occur
4080511975,Black Sage,Salvia mellifera,Pollination
4438705616,"Blue Boa agastache, budleia","Agastache foeniculum, Buddleja sp.",Pollination
2609253136,blue mist,Conoclinium coelestinum,Pollination
4054814768,borage,Borago officinalis,Co-occur
5007424668,Brambles,Rubus sp.,Co-occur
4431210513,bristly oxtongue,bristly oxtongue,Co-occur
4413376069,Bristly Oxtongue,Helminthotheca echioides,Co-occur
2397565571,Bristly Oxtongue,Helminthotheca echioides,Co-occur
2294513940,Bristly Oxtongue,Helminthotheca echioides,Pollination
1847623354,bristly oxtongue,Helminthotheca echioides,Pollination
1847622899,bristly oxtongue,Helminthotheca echioides,Pollination
4103411626,brittlebush,Encelia farinosa,Pollination
4919677589,broadleaf plants,plant sp.,Co-occur
4903860964,buddleia,Buddleja sp.,Pollination
4431178251,buddleia,Buddleja sp.,Pollination
4413886184,Buddleia,Buddleja sp.,Co-occur
4413640065,Buddleia,Buddleja sp.,Co-occur
5063294234,"Buddleia, Butterfly bush",Buddleja sp.,Co-occur
891099554,"Bush Groundsel, Senecio douglasii",Senecio douglasii,Co-occur
4424579293,"bush sunflowers, Encelia californica",Encelia californica,Co-occur
4921876871,butterfly bush,Buddleja sp.,Pollination
4413800586,butterfly bush,Buddleja sp.,Co-occur
4414158784,Buttonbush,Cephalanthus occidentalis,Pollination
4442752576,California Brittlebush,Encelia californica,Co-occur
3398702305,Centranthus ruber,Centranthus ruber,Pollination
3764164831,chamise,Adenostoma fasciculatum,Co-occur
891743216,cheese weed,Malva parviflora,Herbivory
3784829869,cheeseweed,Malva parviflora,Co-occur
4525147659,"cheeseweed, *Malva parviflora*",Malva parviflora,Herbivory
3499423745,chickweed,Stellaria media,Co-occur
4945867586,chives,Allium sp.,Pollination
3961033561,Coast Goldenbush (Isocoma menziesii),Isocoma menziesii,Pollination
3343944302,Coast Live Oak,Quercus agrifolia,Co-occur
2641313730,Common Mallow (Malva neglecta),Malva neglecta,Herbivory
1883549417,Common Mallow (Malva neglecta),Malva neglecta,Co-occur
3698237612,Common Manzanita,Arctostaphylos manzanita,Co-occur
2576294345,Common manzanita,Arctostaphylos manzanita,Pollination
