global_unique_identifier,species1_common,species2_common_orig,species2_predict,interaction,interaction_predict,species2_common_std,species2_predicted_common_std,species_comments,interaction_correct
URN:CornellLabOfOrnithology:EBIRD:OBS1918717315,Field Sparrow,"atsp, deju","atsp, deju",facilitation-feeding,facilitation-feeding,"American Tree Sparrow, Dark-eyed Junco","American Tree Sparrow, Dark-eyed Junco","Pink bill and legs, plain breast and gray face. Was in the large flock of ATSP and DEJU feeding in one of the fields.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1921250553,Lapland Longspur,larks,larks,facilitation-mixed flocking,facilitation-mixed flocking,Horned Lark,Horned Lark,"Mixed in with the larks, also giving classic twittering call. Will attach pics",1
URN:CornellLabOfOrnithology:EBIRD:OBS1912066311,Lesser Scaup,ruddy ducks,ruddy ducks,facilitation-mixed flocking,co-occur,Ruddy Duck,Ruddy Duck,In lagoon with ruddy ducks,0
URN:CornellLabOfOrnithology:EBIRD:OBS1602106621,Merlin,bird,bird,predation,predation,bird sp.,bird sp.,Seen eating a bird in a tree!,1
URN:CornellLabOfOrnithology:EBIRD:OBS1915646892,Ruddy Duck,duck,no species,facilitation-mixed flocking,no interaction,duck sp.,no species,"Spread across both ponds, intermixed in larger mixed duck groups or off in smaller groups. Small, brown ducks with pointed tail and males have white cheek patch. Diving.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1887661408,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"with canada geese, took off at 954 should be back later today",1
URN:CornellLabOfOrnithology:EBIRD:OBS1633635809,American Wigeon,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,One male and one female mixed in with mallards along the shoreline of Lake St. Clair,1
URN:CornellLabOfOrnithology:EBIRD:OBS1637110785,Northern Shoveler,"mallards, gwte","mallards, gwte",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Green-winged Teal","Mallard, Green-winged Teal",One male and one female swimming with mallards and GWTE.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1637499646,Horned Grebe,rtl,rtl,co-occur,co-occur,Red-throated Loon,Red-throated Loon,"Hanging near RTL …darker back, shorter bills…sitting higher in water",1
URN:CornellLabOfOrnithology:EBIRD:OBS1630388592,Trumpeter Swan,bald eagle,bald eagle,co-occur,co-occur,Bald Eagle,Bald Eagle,"On Campbell Lake ice, two relatively close to the Bald Eagle.",1
