species1_common,species2_common,multispecies,interaction,uncertain_descriptio,global_unique_identifier,uncertain_description,common_name,species_comments
Field Sparrow,"ATSP, DEJU",TRUE,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1918717315,,Field Sparrow,"Pink bill and legs, plain breast and gray face. Was in the large flock of ATSP and DEJU feeding in one of the fields."
Lapland Longspur,larks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1921250553,,Lapland Longspur,"Mixed in with the larks, also giving classic twittering call. Will attach pics"
Lesser Scaup,ruddy ducks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1912066311,,Lesser Scaup,In lagoon with ruddy ducks
Merlin,bird,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1602106621,,Merlin,Seen eating a bird in a tree!
Ruddy Duck,duck,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1915646892,,Ruddy Duck,"Spread across both ponds, intermixed in larger mixed duck groups or off in smaller groups. Small, brown ducks with pointed tail and males have white cheek patch. Diving."
Snow Goose,canada geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1887661408,,Snow Goose,"with canada geese, took off at 954 should be back later today"
American Wigeon,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1633635809,,American Wigeon,One male and one female mixed in with mallards along the shoreline of Lake St. Clair
Northern Shoveler,"mallards, GWTE",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1637110785,,Northern Shoveler,One male and one female swimming with mallards and GWTE.
Horned Grebe,RTL,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1637499646,,Horned Grebe,"Hanging near RTL …darker back, shorter bills…sitting higher in water"
Trumpeter Swan,Bald Eagle,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1630388592,,Trumpeter Swan,"On Campbell Lake ice, two relatively close to the Bald Eagle."
Red-tailed Hawk,crows,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1611074318,,Red-tailed Hawk,Landed in tree next to property until crows found it.
Sharp-shinned Hawk,sparrow,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1927080626,,Sharp-shinned Hawk,Caught a sparrow in my yard and proceeded to eat it.
